date,iso_code,monthly_new_cases,monthly_total_cases
2021-04-01,BLZ,165,12764
2021-05-01,BLZ,373,13137
2021-06-01,BLZ,780,13917
2021-07-01,BLZ,1498,15415
2021-08-01,BLZ,4185,19600
2021-09-01,BLZ,5845,25445
2021-10-01,BLZ,4720,30165
2021-11-01,BLZ,1338,31503
2021-12-01,BLZ,14250,45753
2022-01-01,BLZ,10844,56597
2022-02-01,BLZ,634,57231
2022-03-01,BLZ,188,57419
2022-04-01,BLZ,1000,58419
2022-05-01,BLZ,4618,63037
2022-06-01,BLZ,3584,66621
2022-07-01,BLZ,1566,68187
2022-08-01,BLZ,597,68784
2022-09-01,BLZ,142,68926
2022-10-01,BLZ,86,69012
2022-11-01,BLZ,663,69675
2022-12-01,BLZ,880,70555
2023-01-01,BLZ,185,70740
2023-02-01,BLZ,17,70757
2023-02-01,BEN,26,26
2023-03-01,BEN,0,26
2019-12-01,BEN,9,35
2020-01-01,BEN,249,284
2020-02-01,BEN,186,339
2020-03-01,BEN,1117,1378
2020-04-01,BEN,558,1936
2020-05-01,BEN,306,2242
2020-06-01,BEN,169,2411
2020-07-01,BEN,334,2745
2020-08-01,BEN,345,3090
2020-09-01,BEN,214,3304
2020-10-01,BEN,889,4193
2020-11-01,BEN,2308,6501
2020-12-01,BEN,1014,7515
2021-01-01,BEN,480,7995
2021-02-01,BEN,114,8109
2021-03-01,BEN,118,8227
2021-04-01,BEN,381,8608
2021-05-01,BEN,11233,19841
2021-06-01,BEN,4494,24335
2021-07-01,BEN,469,24804
2021-08-01,BEN,93,24897
2021-09-01,BEN,625,25522
2021-10-01,BEN,1030,26552
2021-11-01,BEN,23,26575
2021-12-01,BEN,377,26952
2022-01-01,BEN,0,26952
2022-02-01,BEN,0,26952
2022-03-01,BEN,264,27216
2022-04-01,BEN,100,27316
2022-05-01,BEN,174,27490
2022-06-01,BEN,292,27782
2022-07-01,BEN,130,27912
2022-08-01,BEN,68,27980
2022-09-01,BEN,2,27982
2022-10-01,BEN,8,27990
2022-11-01,BEN,0,27990
2022-11-01,BMU,7,7
2022-12-01,BMU,92,99
2023-01-01,BMU,40,139
2023-02-01,BMU,7,146
2023-03-01,BMU,0,146
2019-12-01,BMU,0,146
2020-01-01,BMU,8,154
2020-02-01,BMU,14,168
2020-03-01,BMU,13,181
2020-04-01,BMU,12,193
2020-05-01,BMU,67,260
2020-06-01,BMU,321,581
2020-07-01,BMU,105,686
2020-08-01,BMU,21,707
2020-09-01,BMU,429,1136
2020-10-01,BMU,1221,2357
2020-11-01,BMU,137,2494
2020-12-01,BMU,16,2510
2021-01-01,BMU,58,2568
2021-02-01,BMU,276,2844
2021-03-01,BMU,2138,4982
2021-04-01,BMU,643,5625
2021-05-01,BMU,123,5748
2021-06-01,BMU,266,6014
2021-07-01,BMU,4248,10262
